T1,Q1,AT1,I1,V1
292.15,2.54764873060722,0,15,-3.81403086751289
292.15,2.54649362162175,0,15,-3.81411759755268
292.15,2.5453502082901,0,15,-3.8142037150655
292.15,2.54421835949498,0,15,-3.81428922726017
292.15,2.54309794534424,0,15,-3.81437414126284
292.15,2.54198883716504,0,15,-3.81445846411797
292.15,2.54089090749778,0,15,-3.81454220278924
292.15,2.53980403009047,0,15,-3.81462536416049
292.15,2.53872807989219,0,15,-3.81470795503663
292.15,2.53766293304705,0,15,-3.81478998214453
292.15,2.53660846688766,0,15,-3.81487145213395
292.15,2.53556455992876,0,15,-3.81495237157834
292.15,2.53453109186057,0,15,-3.8150327469758
292.15,2.53350794354211,0,15,-3.8151125847499
292.15,2.53249499699442,0,15,-3.81519189125051
292.15,2.53149213539359,0,15,-3.81527067275467
292.15,2.53049924306413,0,15,-3.81534893546741
292.15,2.52951620547151,0,15,-3.81542668552257
292.15,2.52854290921542,0,15,-3.81550392898361
292.15,2.52757924202243,0,15,-3.81558067184439
292.15,2.52662509273884,0,15,-3.81565692003001
292.15,2.52568035132322,0,15,-3.81573267939754
292.15,2.52474490883938,0,15,-3.81580795573682
292.15,2.52381865744869,0,15,-3.81588275477122
292.15,2.5229014904028,0,15,-3.81595708215839
292.15,2.52199330203607,0,15,-3.81603094349101
292.15,2.52109398775806,0,15,-3.81610434429751
292.15,2.52020344404602,0,15,-3.81617729004283
292.15,2.51932156843722,0,15,-3.81624978612911
292.15,2.51844825952134,0,15,-3.81632183789644
292.15,2.51758341693284,0,15,-3.81639345062349
292.15,2.51672694134325,0,15,-3.81646462952829
292.15,2.51587873445345,0,15,-3.81653537976887
292.15,2.51503869898599,0,15,-3.81660570644394
292.15,2.51420673867736,0,15,-3.81667561459357
292.15,2.51338275827018,0,15,-3.81674510919986
292.15,2.5125666635054,0,15,-3.81681419518757
292.15,2.51175836111469,0,15,-3.81688287742481
292.15,2.51095775881245,0,15,-3.81695116072363
292.15,2.51016476528821,0,15,-3.8170190498407
292.15,2.50937929019875,0,15,-3.8170865494779
292.15,2.50860124416027,0,15,-3.81715366428296
292.15,2.50783053874076,0,15,-3.81722039885007
292.15,2.50706708645203,0,15,-3.81728675772046
292.15,2.50631080074211,0,15,-3.81735274538304
292.15,2.5055615959873,0,15,-3.81741836627496
292.15,2.50481938748467,0,15,-3.81748362478219
292.15,2.50408409144407,0,15,-3.81754852524012
292.15,2.50335562498049,0,15,-3.81761307193413
292.15,2.50263390610635,0,15,-3.81767726910012
292.15,2.50191885372394,0,15,-3.81774112092511
292.15,2.50121038761739,0,15,-3.81780463154776
292.15,2.50050842844541,0,15,-3.81786780505894
292.15,2.49981289773331,0,15,-3.81793064550225
292.15,2.49912371786564,0,15,-3.81799315687456
292.15,2.49844081207851,0,15,-3.81805534312654
292.15,2.49776410445187,0,15,-3.81811720816317
292.15,2.49709351990225,0,15,-3.81817875584427
292.15,2.49642898417494,0,15,-3.81823998998501
292.15,2.49577042383677,0,15,-3.81830091435637
292.15,2.49511776626855,0,15,-3.8183615326857
292.15,2.49447093965748,0,15,-3.81842184865719
292.15,2.49382987299003,0,15,-3.81848186591232
292.15,2.4931944960444,0,15,-3.81854158805041
292.15,2.4925647393832,0,15,-3.81860101862902
292.15,2.49194053434624,0,15,-3.81866016116447
292.15,2.49132181304316,0,15,-3.8187190191323
292.15,2.49070850834622,0,15,-3.81877759596771
292.15,2.4901005538832,0,15,-3.81883589506603
292.15,2.48949788403016,0,15,-3.81889391978317
292.15,2.48890043390435,0,15,-3.81895167343604
292.15,2.48830813935706,0,15,-3.81900915930303
292.15,2.48772093696667,0,15,-3.8190663806244
292.15,2.4871387640317,0,15,-3.81912334060276
292.15,2.48656155856364,0,15,-3.81918004240344
292.15,2.48598925928022,0,15,-3.81923648915496
292.15,2.48542180559843,0,15,-3.81929268394939
292.15,2.48485913762781,0,15,-3.81934862984282
292.15,2.48430119616347,0,15,-3.81940432985572
292.15,2.48374792267944,0,15,-3.81945978697338
292.15,2.48319925932196,0,15,-3.81951500414627
292.15,2.48265514890272,0,15,-3.81956998429044
292.15,2.48211553489247,0,15,-3.81962473028794
292.15,2.4815803614141,0,15,-3.81967924498716
292.15,2.48104957323639,0,15,-3.81973353120325
292.15,2.48052311576737,0,15,-3.81978759171846
292.15,2.48000093504785,0,15,-3.81984142928252
292.15,2.47948297774514,0,15,-3.81989504661303
292.15,2.47896919114658,0,15,-3.8199484463958
