,dataset_name,severity_description.x,severity_level,Conclusion,second_buy,Label,battery,battery_category,X10_60,X10_75,X10_100,X10_125,X10_150,X40_60,X40_75,X40_100,X40_125,X40_150,X30_75,X30_100,X30_125,X30_150
13,1500mAh3-40S0C,"No effect, local heating, internal discharge – 2",2,TP,69.4,1,Rec,Lab/Generic,0.465359477,0.456565657,0.398534799,0.365517241,0.339243499,0.598412698,0.568518519,0.439344262,0.389534884,0.350750751,0.529710145,0.44741784,0.378472222,0.335812672
14,1500mAh3-60S0C,"No effect, local heating, internal discharge – 2",2,TP,67,1,Rec,Lab/Generic,0.488235294,0.46010101,0.342124542,0.283908046,0.23356974,0.514285714,0.432407407,0.332786885,0.312790698,0.290690691,0.429710145,0.353051643,0.290625,0.315151515
15,1500mAh3-80S0C,"No effect, local heating, internal discharge – 2",2,TP,76.9,1,Rec,Lab/Generic,0.560130719,0.494949495,0.417582418,0.361494253,0.31465721,0.647619048,0.541666667,0.438251366,0.370542636,0.346546547,0.534782609,0.454929577,0.415625,0.31184573
16,2000mAh1-100S0C,"Moderate effect, extended joule heating, local reactions (no spread) – 3",3,TP,44.4,1,Rec,Lab/Generic,0.508496732,0.469191919,0.380952381,0.331896552,0.3,0.60952381,0.503703704,0.431693989,0.366666667,0.315615616,0.402173913,0.26056338,0.192708333,0.263360882
17,2000mAh1-20S0C,"No effect, local heating, internal discharge – 2",2,TP,70,1,Rec,Lab/Generic,0.519607843,0.46969697,0.441025641,0.380172414,0.35177305,0.536507937,0.446296296,0.418032787,0.350387597,0.315315315,0.589130435,0.504694836,0.443055556,0.391460055
18,2000mAh1-40S0C,"No effect, local heating, internal discharge – 2",2,TP,62.2,1,Rec,Lab/Generic,0.463398693,0.43030303,0.375091575,0.312643678,0.28463357,0.612698413,0.518518519,0.441530055,0.375968992,0.344744745,0.494202899,0.368544601,0.30625,0.316804408
19,2000mAh1-60S0C,"Moderate effect, extended joule heating, local reactions (no spread) – 3",3,TP,55.3,1,Rec,Lab/Generic,0.47124183,0.448484848,0.356043956,0.295977011,0.262411348,0.579365079,0.50462963,0.416393443,0.353875969,0.31021021,0.584782609,0.479342723,0.399652778,0.402479339
20,2000mAh1-80S0C,"Moderate effect, extended joule heating, local reactions (no spread) – 3",3,TP,65.8,1,Rec,Lab/Generic,0.603921569,0.562626263,0.479120879,0.397126437,0.346572104,0.584126984,0.536111111,0.445355191,0.39379845,0.352552553,0.45942029,0.402816901,0.351388889,0.365564738
21,2000mAh2-100S0C,"Moderate effect, extended joule heating, local reactions (no spread) – 3",3,TP,43.9,1,Rec,Lab/Generic,0.444444444,0.397474747,0.354578755,0.311206897,0.268794326,0.634920635,0.5,0.412568306,0.352325581,0.291891892,0.536231884,0.461502347,0.369444444,0.411019284
22,2000mAh2-20S0C,"No effect, local heating, internal discharge – 2",2,TP,45.8,1,Rec,Lab/Generic,0.577777778,0.51010101,0.43003663,0.38362069,0.331205674,0.663492063,0.576851852,0.454098361,0.398062016,0.345645646,0.582608696,0.500938967,0.424652778,0.351515152
23,2000mAh2-40S0C,"No effect, local heating, internal discharge – 2",2,TP,44.9,1,Rec,Lab/Generic,0.503267974,0.473737374,0.411721612,0.343965517,0.282978723,0.596825397,0.539814815,0.457923497,0.362403101,0.280780781,0.572463768,0.4342723,0.378819444,0.404132231
24,2000mAh2-60S0C,"Moderate effect, extended joule heating, local reactions (no spread) – 3",3,TP,33.9,1,Rec,Lab/Generic,0.483006536,0.478282828,0.458608059,0.40545977,0.368794326,0.620634921,0.562037037,0.483060109,0.422093023,0.37957958,0.505797101,0.41971831,0.374305556,0.373553719
25,2000mAh2-80S0C,"Moderate effect, extended joule heating, local reactions (no spread) – 3",3,TP,35,1,Rec,Lab/Generic,0.582352941,0.545454545,0.476556777,0.411781609,0.372104019,0.668253968,0.59537037,0.514754098,0.431007752,0.376276276,0.499275362,0.466666667,0.405555556,0.306887052
26,500mAh1-100S0C,"No effect, local heating, internal discharge – 2",2,TP,92.5,1,Rec,Lab/Generic,0.593464052,0.544444444,0.478388278,0.421264368,0.386288416,0.647619048,0.577777778,0.490163934,0.423643411,0.387987988,0.310144928,0.287323944,0.276388889,0.315702479
27,500mAh1-20S0C,"No effect, local heating, internal discharge – 2",2,FP,-9999,2,Rec,Lab/Generic,0.410457516,0.360606061,0.296703297,0.260057471,0.238770686,0.379365079,0.25462963,0.259562842,0.255426357,0.23963964,0.425362319,0.3,0.221875,0.30661157
28,500mAh1-40S0C,"No effect, local heating, internal discharge – 2",2,NA,69.1,2,Rec,Lab/Generic,0.422875817,0.413131313,0.318681319,0.25,0.205910165,0.414285714,0.362037037,0.242076503,0.210077519,0.196696697,0.463043478,0.410328638,0.375347222,0.327548209
29,500mAh1-60S0C,"No effect, local heating, internal discharge – 2",2,TP,82.8,1,Rec,Lab/Generic,0.475163399,0.422727273,0.37985348,0.34683908,0.31678487,0.625396825,0.535185185,0.446994536,0.397286822,0.36006006,0.521014493,0.455868545,0.414930556,0.398898072
30,500mAh1-80S0C,"No effect, local heating, internal discharge – 2",2,TP,93.5,1,Rec,Lab/Generic,0.531372549,0.464646465,0.39010989,0.362068966,0.324822695,0.598412698,0.538888889,0.455737705,0.410077519,0.355855856,0.593478261,0.512676056,0.447222222,0.312121212
31,500mAh2-100S0C,"No effect, local heating, internal discharge – 2",2,TP,103.2,1,Rec,Lab/Generic,0.513071895,0.483838384,0.416117216,0.359770115,0.321985816,0.546031746,0.492592593,0.408196721,0.358914729,0.315915916,0.561594203,0.448356808,0.356944444,0.308539945
